#https://arxiv.org/pdf/1410.5439
#z MAB Phi MAB- MAB+ Phi- Phi+
7 -22.0 0.0046e-3 0 0 0.0049e-3 0.0028e-3
7 -21.5 0.0187e-3 0 0 0.0085e-3 0.0067e-3
7 -21.0 0.0690e-3 0 0 0.0156e-3 0.0144e-3
7 -20.5 0.1301e-3 0 0 0.0239e-3 0.0200e-3
7 -20.0 0.2742e-3 0 0 0.0379e-3 0.0329e-3
7 -19.5 0.3848e-3 0 0 0.0633e-3 0.0586e-3
7 -19.0 0.5699e-3 0 0 0.2229e-3 0.1817e-3
7 -18.5 2.5650e-3 0 0 0.8735e-3 0.7161e-3
7 -18.0 3.0780e-3 0 0 1.0837e-3 0.8845e-3
#



























